shopid,itemid,url
100778293,12044516239,https://shopee.vn/api/v2/item/get?itemid=12044516239&shopid=100778293
100778293,13825111963,https://shopee.vn/api/v2/item/get?itemid=13825111963&shopid=100778293
100778293,16914114929,https://shopee.vn/api/v2/item/get?itemid=16914114929&shopid=100778293
100778293,5241494502,https://shopee.vn/api/v2/item/get?itemid=5241494502&shopid=100778293
100778293,3345057324,https://shopee.vn/api/v2/item/get?itemid=3345057324&shopid=100778293
100778293,15159588242,https://shopee.vn/api/v2/item/get?itemid=15159588242&shopid=100778293
100778293,15126583030,https://shopee.vn/api/v2/item/get?itemid=15126583030&shopid=100778293
100778293,7633775110,https://shopee.vn/api/v2/item/get?itemid=7633775110&shopid=100778293
100778293,7568656148,https://shopee.vn/api/v2/item/get?itemid=7568656148&shopid=100778293
100778293,6456778374,https://shopee.vn/api/v2/item/get?itemid=6456778374&shopid=100778293
100778293,4854872985,https://shopee.vn/api/v2/item/get?itemid=4854872985&shopid=100778293
100778293,3952004188,https://shopee.vn/api/v2/item/get?itemid=3952004188&shopid=100778293
100778293,6756754949,https://shopee.vn/api/v2/item/get?itemid=6756754949&shopid=100778293
100778293,7845313848,https://shopee.vn/api/v2/item/get?itemid=7845313848&shopid=100778293
100778293,5551257471,https://shopee.vn/api/v2/item/get?itemid=5551257471&shopid=100778293
100778293,1651158422,https://shopee.vn/api/v2/item/get?itemid=1651158422&shopid=100778293
100778293,6621380211,https://shopee.vn/api/v2/item/get?itemid=6621380211&shopid=100778293
100778293,5768638359,https://shopee.vn/api/v2/item/get?itemid=5768638359&shopid=100778293
100778293,6858362680,https://shopee.vn/api/v2/item/get?itemid=6858362680&shopid=100778293
100778293,2288892691,https://shopee.vn/api/v2/item/get?itemid=2288892691&shopid=100778293
100778293,14954157035,https://shopee.vn/api/v2/item/get?itemid=14954157035&shopid=100778293
100778293,6337361598,https://shopee.vn/api/v2/item/get?itemid=6337361598&shopid=100778293
100778293,5337373426,https://shopee.vn/api/v2/item/get?itemid=5337373426&shopid=100778293
100778293,5186158391,https://shopee.vn/api/v2/item/get?itemid=5186158391&shopid=100778293
100778293,6633624634,https://shopee.vn/api/v2/item/get?itemid=6633624634&shopid=100778293
100778293,4041487962,https://shopee.vn/api/v2/item/get?itemid=4041487962&shopid=100778293
100778293,4928044366,https://shopee.vn/api/v2/item/get?itemid=4928044366&shopid=100778293
100778293,8449697963,https://shopee.vn/api/v2/item/get?itemid=8449697963&shopid=100778293
100778293,7145401372,https://shopee.vn/api/v2/item/get?itemid=7145401372&shopid=100778293
100778293,7444764155,https://shopee.vn/api/v2/item/get?itemid=7444764155&shopid=100778293
100778293,3741544434,https://shopee.vn/api/v2/item/get?itemid=3741544434&shopid=100778293
100778293,6937320725,https://shopee.vn/api/v2/item/get?itemid=6937320725&shopid=100778293
100778293,6641385342,https://shopee.vn/api/v2/item/get?itemid=6641385342&shopid=100778293
